read_id,pod5_file,target_gene,signal_start,signal_end,label
c74f277b-18af-490a-a647-370ef5204bdf,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,2416,3148,1
3a88ef6f-30fc-45c9-8f6e-331d371a2eab,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,16,1960,1
c79b37b3-66d9-4720-be62-7e2afe92ff76,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,1936,3310,1
f352836a-d0fe-47fb-a278-2725c58679d8,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,11674,21574,1
041f75f8-fa7a-436d-b558-08972820f559,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,2104,5296,1
4cace5b7-9c3c-47d8-9cd7-5f74b97ac150,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,117154,138352,1
9da53a84-1d91-4900-9bbb-a02dabb20f46,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,15250,25528,1
73c80823-6e55-42b6-946a-c746aaec6e45,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,1906,3178,1
2202eeed-491a-4078-bf8d-8bfd2795eee5,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,58300,67714,1
a0e1e35d-af79-4838-a5bb-2b29ecd305ae,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,1642,12664,1
4132aff4-ef3d-44c4-a7f5-408451d99883,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,13006,22786,1
699ccecc-04f4-4d97-a14c-bad9da70a2ba,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,1954,3970,1
129a1198-e901-45a2-baaf-824f65919ecd,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,49234,61942,1
812b9f27-05c3-44c0-b550-7fbf75c7c962,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,1630,3898,1
63c8617c-8e5c-42e9-9273-b7b1f547a89a,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,6952,8416,1
2fa2e4cc-de2c-48fb-91eb-3a2823eb3440,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,10228,25348,1
25170665-28c0-4bb6-a611-a6b503bdb9fe,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,63430,68164,1
25170665-28c0-4bb6-a611-a6b503bdb9fe,PAQ63858_pass_barcode69_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,121984,121984,1
